main_term,path,full_term,level,type,value,code
Alteration,Alteration > Subcutaneous Tissue and Fascia > Upper Arm > Left,Alteration > Subcutaneous Tissue and Fascia > Upper Arm > Left,3,codes,,0J0F
Alteration,Alteration > Subcutaneous Tissue and Fascia > Upper Arm > Right,Alteration > Subcutaneous Tissue and Fascia > Upper Arm > Right,3,codes,,0J0D
Alteration,Alteration > Subcutaneous Tissue and Fascia > Upper Leg > Left,Alteration > Subcutaneous Tissue and Fascia > Upper Leg > Left,3,codes,,0J0M
Alteration,Alteration > Subcutaneous Tissue and Fascia > Upper Leg > Right,Alteration > Subcutaneous Tissue and Fascia > Upper Leg > Right,3,codes,,0J0L
Alteration,Alteration > Wrist Region > Left,Alteration > Wrist Region > Left,2,codes,,0X0H
Alteration,Alteration > Wrist Region > Right,Alteration > Wrist Region > Right,2,codes,,0X0G
Alveolar process of mandible,Alveolar process of mandible,Alveolar process of mandible,1,use,"Mandible, Right",
Alveolar process of mandible,Alveolar process of mandible,Alveolar process of mandible,1,use,"Mandible, Left",
Alveolar process of maxilla,Alveolar process of maxilla,Alveolar process of maxilla,0,use,Maxilla,
Alveolectomy,Alveolectomy,Alveolectomy,1,see,"Excision, Head and Facial Bones 0NB",
Alveolectomy,Alveolectomy,Alveolectomy,1,see,"Resection, Head and Facial Bones 0NT",
Alveoloplasty,Alveoloplasty,Alveoloplasty,1,see,"Repair, Head and Facial Bones 0NQ",
Alveoloplasty,Alveoloplasty,Alveoloplasty,1,see,"Replacement, Head and Facial Bones 0NR",
Alveoloplasty,Alveoloplasty,Alveoloplasty,1,see,"Supplement, Head and Facial Bones 0NU",
Alveolotomy,Alveolotomy,Alveolotomy,1,see,"Division, Head and Facial Bones 0N8",
Alveolotomy,Alveolotomy,Alveolotomy,1,see,"Drainage, Head and Facial Bones 0N9",
Ambulatory cardiac monitoring,Ambulatory cardiac monitoring,Ambulatory cardiac monitoring,0,code,,4A12X45
