full_code,section,body_system,operation,operation_definition,body_part_code,body_part,approach_code,approach,device_code,device,qualifier_code,qualifier
001U072,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,7,Autologous Tissue Substitute,2,Atrium
001U074,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,7,Autologous Tissue Substitute,4,Pleural Cavity
001U076,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,7,Autologous Tissue Substitute,6,Peritoneal Cavity
001U077,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,7,Autologous Tissue Substitute,7,Urinary Tract
001U079,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,7,Autologous Tissue Substitute,9,Fallopian Tube
001U0J2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,J,Synthetic Substitute,2,Atrium
001U0J4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,J,Synthetic Substitute,4,Pleural Cavity
001U0J6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,J,Synthetic Substitute,6,Peritoneal Cavity
001U0J7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,J,Synthetic Substitute,7,Urinary Tract
001U0J9,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,J,Synthetic Substitute,9,Fallopian Tube
001U0K2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,K,Nonautologous Tissue Substitute,2,Atrium
001U0K4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,K,Nonautologous Tissue Substitute,4,Pleural Cavity
001U0K6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,K,Nonautologous Tissue Substitute,6,Peritoneal Cavity
001U0K7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,K,Nonautologous Tissue Substitute,7,Urinary Tract
001U0K9,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,0,Open,K,Nonautologous Tissue Substitute,9,Fallopian Tube
001U372,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,7,Autologous Tissue Substitute,2,Atrium
001U374,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,7,Autologous Tissue Substitute,4,Pleural Cavity
001U376,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,7,Autologous Tissue Substitute,6,Peritoneal Cavity
001U377,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,7,Autologous Tissue Substitute,7,Urinary Tract
001U379,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,7,Autologous Tissue Substitute,9,Fallopian Tube
001U3J2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,J,Synthetic Substitute,2,Atrium
001U3J4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,J,Synthetic Substitute,4,Pleural Cavity
001U3J6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,J,Synthetic Substitute,6,Peritoneal Cavity
001U3J7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,J,Synthetic Substitute,7,Urinary Tract
001U3J9,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,J,Synthetic Substitute,9,Fallopian Tube
001U3K2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,K,Nonautologous Tissue Substitute,2,Atrium
001U3K4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,K,Nonautologous Tissue Substitute,4,Pleural Cavity
001U3K6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,K,Nonautologous Tissue Substitute,6,Peritoneal Cavity
001U3K7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,K,Nonautologous Tissue Substitute,7,Urinary Tract
001U3K9,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,3,Percutaneous,K,Nonautologous Tissue Substitute,9,Fallopian Tube
001U472,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,2,Atrium
001U474,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,U,Spinal Canal,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,4,Pleural Cavity
